Date,Market Cap Decile1,Market Cap Decile2,Market Cap Decile3,Market Cap Decile4,Market Cap Decile5,Market Cap Decile6,Market Cap Decile7,Market Cap Decile8,Market Cap Decile9,Market Cap Decile10,Price Decile1,Price Decile2,Price Decile3,Price Decile4,Price Decile5,Price Decile6,Price Decile7,Price Decile8,Price Decile9,Price Decile10,Turnover Decile1,Turnover Decile2,Turnover Decile3,Turnover Decile4,Turnover Decile5,Turnover Decile6,Turnover Decile7,Turnover Decile8,Turnover Decile9,Turnover Decile10,Volatility Decile1,Volatility Decile2,Volatility Decile3,Volatility Decile4,Volatility Decile5,Volatility Decile6,Volatility Decile7,Volatility Decile8,Volatility Decile9,Volatility Decile10
20120103,19.37000591891092,26.44010133912414,25.19320079737083,21.55615710253998,20.42872064562731,21.704799062123985,24.35382260570906,23.598073534987883,23.993031918161712,21.8408274293097,10.191758781992075,11.440740810308233,13.231606366858273,15.395161461209298,16.95560494277335,20.183096525015113,20.452473717658492,21.25470011392779,25.642946117447377,31.337392663060257,233.9555997349238,76.29629754404878,43.805025305862195,28.26680566727552,30.209616581255244,25.704206981299045,22.289091014372755,23.832485661137426,20.72907369643352,19.293028757811477,22.905618215868376,23.358301591087066,24.59858806030896,22.398596862818312,21.116247889603713,21.750502383755098,20.887265872295814,20.619306387506064,19.6874170112675,19.21024274757813
20120104,12.398751329285444,28.66927507879578,25.836792439871985,31.12953572051499,24.488040708665537,21.69328782014162,22.84560263035073,24.023428122924592,22.517347318297773,21.32542360220414,9.402251498616984,12.625892210861364,13.051084570228607,15.899462198253417,17.113419641103324,19.25933304867144,20.766921289253418,19.823081139229632,26.056917101491216,29.90153108651433,384.07244556113903,136.93761581222978,62.15651804984228,36.04818312865059,29.68002568194321,28.325031238567636,25.618910482209337,21.908386819337984,20.223952606087636,17.316072087610124,23.46839614176514,22.894124687846954,26.057335537002245,21.315498380002772,21.87209908043856,20.933773338032726,20.490441466985267,19.536623850257286,15.785414420360857,19.507951221650874
20120105,14.483334348912315,23.40554829881197,23.568301141304932,33.28048751443848,26.27715007268258,23.065470779619613,23.199483753330888,22.46534471644655,22.506275151858954,21.241564916109752,9.246602219081698,11.60346593915468,15.495140393603496,14.225785272709937,16.35022317850224,19.563087293034194,21.37691932772922,20.725342506946365,24.995824405698794,30.56456399743951,482.54504030844726,145.6607872178089,64.73880754610728,43.706821310911145,28.73693643244764,28.095484147739295,25.67977793858637,22.22184950619582,21.228034485963118,16.525744609731213,23.11678106867913,23.87638384172701,26.26222534643993,21.380076701005603,22.191677611010427,24.150602409638555,22.415352193458652,16.746207779625017,16.437446434306775,10.510035261503182
20120106,16.220822923571102,21.65997367476367,23.913065030411833,27.62474715145308,25.279473310493543,25.165016088080556,25.717780296872995,25.02559879890653,23.88546845572797,23.3603099431839,10.620165134269268,12.729959334200432,14.303294926389041,16.210233971724723,17.749891263106267,22.129737885241138,23.10108225595466,22.02452603633348,27.593586602768923,32.1930645199948,425.1895542548402,136.823451701543,62.058850975146974,34.084647087067864,34.46403229116386,28.317270264313674,27.099983513061318,24.550552432853472,21.55440012791263,18.468288077276235,25.298018266366324,25.18731789480983,27.52574223026973,23.567258770280315,24.815949429372584,25.796367904774424,23.777714328621926,17.513692178625913,16.46821225599833,12.970477402011378
20120109,20.94153712763981,23.006392569321132,23.983783093061348,28.43306235460706,25.014805301800383,26.16731595476177,26.009277168448627,24.33462326818534,23.125847626795913,24.12482655636753,10.447378958702249,13.49446523338074,13.996424590913946,16.175409046001107,17.145290909271324,20.685706847438436,21.49977478249664,22.635480957743173,27.908401563881256,34.771272803920034,688.3862332695985,123.49634189414199,47.622457491838226,35.65783951234136,36.24232148658412,28.729046524099527,26.618688971147545,25.81068071842852,22.615629521720226,17.57071863954465,26.421090817324373,24.667826878351217,28.954795444364372,27.0665021295184,23.532176564015977,22.247886609961544,22.008755569425123,21.834164251903314,16.26970376520892,11.300847918107916
20120110,14.0456188754638,18.252712872403393,21.023640241734803,25.58793452744638,21.412136746909237,24.44085491163173,21.683632658706735,20.669373544075473,20.592425315120217,21.013774316714567,8.763013195106033,11.756168254186722,12.612512460210702,13.933053079275384,14.53082022482551,17.2107992864291,19.58013737836291,19.844910991034183,24.196386289288938,30.090482501525504,303.7995345744681,114.8499441652708,52.67118602662758,32.632636334000836,28.169877561702418,23.916240832694417,24.271846472575568,20.572893766531518,22.16299163737781,15.898794695330379,23.431793003521314,23.296850178695944,22.54896832082763,23.306711051342642,21.68936775302681,20.073157394697322,17.353982419240225,17.47118299276585,15.449045426751896,10.77412322139707
20120111,10.668458164932497,19.067659855703035,19.325679027282074,20.929246125615055,20.827159665096296,20.102923627684966,19.227582396266232,19.415374161029263,20.223800649138926,21.64025580091191,10.562557890986819,12.231595027656772,11.321336912083122,13.316359909664493,15.010994223317441,17.537894426422884,18.349418641266055,18.929258116958334,24.643911492669808,30.506961266958474,238.64661050942638,115.7432318501171,40.84584443905985,33.08036992984926,26.27492763060339,25.018532210094136,23.121983718603655,22.60395030471,21.032720935851707,15.291420244188886,23.00282512147781,24.516323708547855,22.331726593412654,23.454512349249192,20.653980954765185,20.23252626733124,18.02360670219276,17.256345090178236,13.416425705345445,10.717809154666499
20120112,14.535648319172516,20.250095501862287,23.72358340286733,26.462710745452224,21.993408843851554,22.742371824120227,21.362540435762206,22.540284734054055,21.84715326625955,23.394481557080518,10.004826748497635,12.228247544265297,12.280372986364693,13.90647639450376,16.681177713781413,18.52462036956253,20.687029433385145,21.363773169419126,27.19788775366514,32.358530336364424,319.5260273972603,189.7545793313389,51.65956958323767,30.218396932894866,26.322990497653336,27.972839795502964,24.728492664733537,23.868314628379462,23.33933900251942,17.475686034132934,25.458117330891213,25.34561233230262,25.248408402666012,24.718455539272075,22.01096743792735,23.29224199945882,20.467588393026247,16.92958210220361,15.766679203350714,14.532838183919731
20120113,14.581496519721577,15.58765720569033,23.821289406122528,27.446047533289676,24.199825379137902,25.689062325932145,23.133482856110223,24.79132010230603,23.736654706887588,24.307397610732924,9.53884416800543,13.975672227255263,13.797729358776126,14.624773660879159,17.969689997045197,19.535613973225686,21.352376926578657,23.014458740693186,28.695384839955274,34.56746529541661,483.26103896103893,170.81859221859222,56.16747998166671,41.873490534334046,31.51407582258417,30.916732808010224,26.670519352191018,26.008876108235153,23.411293778458738,18.149355348977274,26.536649739350068,26.132878537429445,29.07976782359652,25.569884790636,23.76538561395681,22.738389329427797,22.19267299010869,18.276097451707408,16.826243648913607,14.196727310561078
20120117,9.004530281354315,21.359083705517936,14.788425982990262,25.08167554186183,24.48465918366667,23.393882651962628,23.895666427220295,23.17570731700021,21.35423221158186,20.347895154771003,8.241081803392982,14.84834429422769,13.8063976633492,14.701349878325438,17.04594469495095,18.016516129933173,20.03360646214723,18.931221628545515,25.013632441349934,29.672739323367736,374.0575221238938,123.3167837626854,58.343637343057225,29.884819321678595,28.607250213548426,24.114277664448775,24.505114645107472,21.82634240278236,19.962589962310783,16.648166209068616,22.558834263101186,23.36607579040502,22.420715647015996,23.751956140828675,23.567357496290104,19.637879073866557,18.79363596011768,16.50096513168828,16.114347168736778,10.755501453214057
